class-row,class-topic,Week,Day,Date,Topic,Assign-OUT,Assign-DUE,
,,1,,,,,,
,,,W,9-Sep,Introduction,Warm up,,
,,2,M,14-Sep,Visual Encoding,,,
,,,W,16-Sep,Print Examples and more Visual Encoding,Basics Check,a1: Warm up,
,,3,M,21-Sep,Intro to CEEDS Culture & Literacy Data and Basic Data Wranging,,,
,,,W,23-Sep,Perception,Print Vis,a2: Basics Check,
,,4,M,28-Sep,Color,,,
,italic,,W,30-Sep,Flex Day for Mountain Day,,,
,,5,M,5-Oct,Embellishment,,,
pressy,proj,,W,7-Oct,Print Viewing / Intro to CEEDS Emissions Data,Digital Vis,a3p1: Print Vis,
noClass,italic,6,M,12-Oct,NO CLASS - AUTUMN RECESS,,,
,,,W,14-Oct,Digital Examples and Interaction,,a3p2: Print Vis Critique/Reflection,
,,7,M,19-Oct,Storytelling,,,
,,,W,21-Oct,Tableau,,,
,,8,M,26-Oct,Tableau,,,
,,,W,28-Oct,Persuasive Visualization,,,
,,9,M,2-Nov,Digital Viewing / Intro to CEEDS Dining Hall Data,Physical Vis,a3p1: Digital Vis,
,,,W,4-Nov,Physical Examples and Accessibility,,,
,,10,M,9-Nov,Visualization Literacy,,a4p2: Digital Vis Critique/Reflection,
,,,W,11-Nov,Data Feminism,,,
,,11,M,16-Nov,Data Humanism ,,,
,italic,,W,18-Nov,Flex Day - Make up or review,,,
,,12,M,23-Nov,Physical Viewing,Final Vis,a5p1: Physical Vis,
noClass,italic,,W,25-Nov,NO CLASS - THANKSGIVING RECESS,,,
,,13,M,30-Nov,Spatial Data Visualization,,a5p2: Physical Vis Critique/Reflection,
,,,W,2-Dec,Text Data Visualization,,,
,,14,M,7-Dec,Network Data Visualization,,,
,italic,,W,9-Dec,Flex Day - Make up or project workshop,,,
pressy,proj,15,M,14-Dec,Final Demonstrations,,a6: Final Vis and Reflection ,
,,,,,Finals Period -- Final grade consultations ,,,
,,,,,,,,
,,,,,,,,
