Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Universe
Aquaman,good,63,80,50,80,65,80,DC
Batman,good,100,18,27,42,37,100,DC
Booster Gold,good,56,85,53,50,72,40,DC
Captain America,good,63,19,35,56,46,100,Marvel
Captain Marvel,good,100,100,67,95,62,56,DC
Deadpool,neutral,50,15,30,100,100,100,Marvel
Flash,good,63,10,100,50,57,32,DC
Iron Fist,good,75,23,35,42,43,100,Marvel
Iron Man,good,100,85,58,85,100,64,Marvel
Loki,bad,88,57,47,85,85,56,Marvel
Red Tornado,good,75,38,67,60,92,40,DC
Robin,good,88,11,27,28,32,85,DC
Spider-Man,good,88,55,60,74,58,85,Marvel
Superman,good,100,100,100,100,94,85,DC
Venom,bad,75,57,65,84,79,84,Marvel
Wonder Woman,good,88,100,50,100,42,100,DC
X-Man,good,88,53,53,95,92,84,Marvel
