Name,Wikipedia Page
Aquaman,https://en.m.wikipedia.org/wiki/Aquaman
Batman,https://en.m.wikipedia.org/wiki/Batman
Booster Gold,https://en.m.wikipedia.org/wiki/Booster_Gold
Captain America,https://en.m.wikipedia.org/wiki/Captain_America
Captain Marvel,https://en.m.wikipedia.org/wiki/Captain_Marvel_%28DC_Comics%29
Deadpool,https://en.m.wikipedia.org/wiki/Deadpool
Flash,https://en.m.wikipedia.org/wiki/Flash_%28comics%29
Iron Fist,https://en.m.wikipedia.org/wiki/Iron_Fist_%28comics%29
Iron Man,https://en.m.wikipedia.org/wiki/Iron_Man
Loki,https://en.m.wikipedia.org/wiki/Loki_%28comics%29
Red Tornado,https://en.m.wikipedia.org/wiki/Red_Tornado
Robin,https://en.m.wikipedia.org/wiki/Robin_%28comics%29
Spider-Man,https://en.m.wikipedia.org/wiki/Spider-Man
Superman,https://en.m.wikipedia.org/wiki/Superman
Venom,https://en.m.wikipedia.org/wiki/Venom_%28comics%29
Wonder Woman,https://en.m.wikipedia.org/wiki/Wonder_Woman
X-Man,https://en.m.wikipedia.org/wiki/Nate_Grey
